,comment_count,dislike_count,duration,like_count,live,title,view_count,publish_hour,publish_day,publish_month,publish_date,days_after_last_video,title_length,description_length,tag_count
1420,93,76,418,72,0,iPhone 4 and iOS Revealed,97440,18,3,6,2010-06-03,1,25,235,8
1419,36,8,237,19,0,Safari 5 Demo,6393,21,3,6,2010-06-03,0,13,226,5
1418,427,72,527,1212,0,Nintendo DSi Review,164591,20,4,6,2010-06-04,1,19,927,12
1417,85,58,208,52,0,2 GHz Motorola Droid Coming?,44305,1,6,6,2010-06-06,2,28,932,6
1416,39,32,314,34,0,Nintendo 3DS: First Details,16530,21,0,6,2010-06-07,1,27,899,6
1415,15,1,289,19,0,Search Pro Application Review,1276,1,1,6,2010-06-08,1,29,605,7
1414,201,75,871,97,0,D3Live: iPhone 4 vs. Android,57755,1,2,6,2010-06-09,1,28,688,11
1413,2532,346,594,4985,0,My Game Console Collection,586104,19,3,6,2010-06-10,1,26,694,19
1412,193,41,119,98,0,Xbox 360 Slim and Kinect Leaked,34258,18,4,6,2010-06-11,1,31,557,5
1411,294,25,380,276,0,Should I Buy a New Xbox 360?,40031,22,4,6,2010-06-11,0,28,719,9
1409,33,10,251,35,0,2010 Mac Mini and iPhone 4 Pre-Order Issues,5325,21,6,6,2010-06-13,2,43,659,8
1408,82,22,322,170,0,YouTube Video Editor Tutorial,40312,1,0,6,2010-06-14,1,29,629,5
1407,51,10,122,81,0,Enable Aero Tabs in Google Chrome,23055,1,1,6,2010-06-15,1,33,553,8
1406,227,13,549,153,0,Jailbreak Your iPhone 3G or iPod touch 2G on iOS 4 Using redsn0w 0.9.5,116351,22,1,6,2010-06-15,0,70,721,11
1405,78,8,922,66,0,D3Live: Should You Jailbreak on iOS 4?,10159,17,2,6,2010-06-16,1,38,624,10
1404,48,7,370,114,0,Video Fail,6254,3,5,6,2010-06-19,3,10,228,4
1402,120,5,739,87,0,Gateway ID49 Unboxing and Review,18731,21,6,6,2010-06-20,1,32,873,6
1403,34,9,303,26,0,Hulu Plus for iPhone and iPod touch,9162,0,6,6,2010-06-20,0,35,523,13
1401,78,30,229,109,0,iPhone OS 3 vs. iOS 4 Speed Test,45912,21,0,6,2010-06-28,8,32,866,15
1400,128,12,281,78,0,How To Get Game Center on iOS 4,41120,21,1,6,2010-06-29,1,31,964,9
1399,180,103,294,71,0,Droid X vs. Droid Incredible vs. Droid 2 Android Showdown,78825,22,2,6,2010-06-30,1,57,476,8
1397,197,170,309,137,0,Windows 8 Predictions,60103,20,4,7,2010-07-02,2,21,543,4
1398,54,9,740,37,0,D3Live: Best Upcoming Games of 2010,3200,1,4,7,2010-07-02,0,35,751,10
